Supplier_ID,Supplier_Name,Region,Avg_Lead_Time_Days,Reliability_Score,Cost_Per_Item,Last_Order_Date,Next_Delivery_Date,On_Time_Delivery_Rate
V923,Supplier_1,Delhi,12,4.2,116.21,2024-01-19,2024-01-31,75
V775,Supplier_2,Delhi,9,4.6,113.26,2024-11-14,2024-11-23,73
V307,Supplier_3,Pune,8,4.1,118.98,2024-09-18,2024-09-26,80
V270,Supplier_4,Pune,9,3.8,103.85,2024-05-24,2024-06-02,71
V711,Supplier_5,Pune,12,4.4,112.12,2024-08-10,2024-08-22,71
V155,Supplier_6,Lucknow,8,4.7,89.22,2024-10-10,2024-10-18,82
V583,Supplier_7,Chennai,3,3.7,109.07,2024-11-21,2024-11-24,79
V503,Supplier_8,Lucknow,7,4.1,100.39,2024-04-22,2024-04-29,74
V769,Supplier_9,Chennai,4,4.2,90.53,2024-07-19,2024-07-23,94
V282,Supplier_10,Chennai,4,4.6,94.0,2024-10-21,2024-10-25,91
V785,Supplier_11,Chennai,12,4.1,93.03,2024-03-19,2024-03-31,86
V728,Supplier_12,Mumbai,12,3.5,113.29,2024-03-22,2024-04-03,87
V314,Supplier_13,Chennai,11,4.7,99.96,2024-06-16,2024-06-27,70
V420,Supplier_14,Mumbai,5,4.5,100.46,2024-02-24,2024-02-29,84
V159,Supplier_15,Delhi,12,4.5,103.81,2024-01-16,2024-01-28,90
V334,Supplier_16,Bangalore,10,4.2,90.03,2024-01-08,2024-01-18,80
V202,Supplier_17,Lucknow,13,3.9,83.67,2024-10-08,2024-10-21,93
V603,Supplier_18,Bangalore,8,4.3,113.17,2024-08-27,2024-09-04,87
V610,Supplier_19,Chennai,7,4.7,88.09,2024-04-01,2024-04-08,72
V177,Supplier_20,Delhi,12,4.2,87.86,2024-08-25,2024-09-06,83
V266,Supplier_21,Lucknow,4,4.5,99.44,2024-02-11,2024-02-15,76
V174,Supplier_22,Bangalore,11,4.0,84.87,2024-07-10,2024-07-21,73
V710,Supplier_23,Bangalore,14,4.9,109.75,2024-06-08,2024-06-22,89
V403,Supplier_24,Lucknow,6,4.6,99.57,2024-09-20,2024-09-26,77
V163,Supplier_25,Delhi,4,4.9,99.83,2024-08-06,2024-08-10,88
V272,Supplier_26,Bangalore,12,3.8,116.13,2024-07-01,2024-07-13,89
V977,Supplier_27,Chennai,11,4.1,106.81,2024-02-16,2024-02-27,72
V329,Supplier_28,Kolkata,10,4.1,83.0,2024-01-05,2024-01-15,82
V715,Supplier_29,Mumbai,6,3.7,85.51,2024-02-16,2024-02-22,90
V521,Supplier_30,Mumbai,6,4.4,95.4,2024-11-17,2024-11-23,85
V263,Supplier_31,Bangalore,3,4.9,100.91,2024-06-22,2024-06-25,71
V376,Supplier_32,Delhi,6,4.2,119.43,2024-06-05,2024-06-11,84
V112,Supplier_33,Hyderabad,8,3.9,94.78,2024-06-15,2024-06-23,92
V771,Supplier_34,Chennai,6,4.7,117.73,2024-01-15,2024-01-21,73
V400,Supplier_35,Bangalore,9,3.7,108.63,2024-02-08,2024-02-17,76
V548,Supplier_36,Kolkata,11,4.7,85.68,2024-08-17,2024-08-28,93
V237,Supplier_37,Lucknow,5,3.6,103.86,2024-07-11,2024-07-16,78
V840,Supplier_38,Pune,8,4.0,120.04,2024-09-18,2024-09-26,77
V296,Supplier_39,Hyderabad,9,3.9,119.36,2024-02-05,2024-02-14,83
V609,Supplier_40,Delhi,6,5.0,117.55,2024-05-03,2024-05-09,89
V884,Supplier_41,Pune,13,4.8,102.4,2024-06-09,2024-06-22,70
V741,Supplier_42,Pune,7,4.1,85.14,2024-08-20,2024-08-27,89
V642,Supplier_43,Chennai,6,4.9,91.1,2024-01-04,2024-01-10,71
V898,Supplier_44,Pune,13,3.8,105.67,2024-02-20,2024-03-04,92
V258,Supplier_45,Delhi,5,4.0,112.91,2024-04-27,2024-05-02,82
V966,Supplier_46,Hyderabad,8,3.5,90.64,2024-02-08,2024-02-16,73
V600,Supplier_47,Delhi,11,3.7,101.89,2024-11-19,2024-11-30,89
V468,Supplier_48,Hyderabad,8,4.7,110.39,2024-03-03,2024-03-11,89
V720,Supplier_49,Pune,4,3.7,119.01,2024-01-11,2024-01-15,95
V129,Supplier_50,Bangalore,4,4.5,120.15,2024-06-15,2024-06-19,77
V758,Supplier_51,Lucknow,14,3.5,103.87,2024-02-18,2024-03-03,91
V457,Supplier_52,Delhi,11,4.1,120.58,2024-02-05,2024-02-16,85
V794,Supplier_53,Mumbai,14,4.7,100.3,2024-07-22,2024-08-05,92
V735,Supplier_54,Delhi,10,4.7,113.7,2024-02-13,2024-02-23,76
V160,Supplier_55,Bangalore,9,4.4,116.58,2024-09-17,2024-09-26,77
V601,Supplier_56,Chennai,4,4.1,107.81,2024-05-26,2024-05-30,92
V254,Supplier_57,Bangalore,8,3.9,90.92,2024-11-21,2024-11-29,91
V537,Supplier_58,Pune,14,3.6,105.47,2024-02-10,2024-02-24,73
V445,Supplier_59,Mumbai,12,4.0,87.15,2024-11-25,2024-12-07,85
V825,Supplier_60,Mumbai,4,3.7,86.0,2024-04-15,2024-04-19,70
V880,Supplier_61,Kolkata,3,3.8,83.47,2024-05-16,2024-05-19,83
V514,Supplier_62,Kolkata,12,4.0,101.81,2024-05-20,2024-06-01,92
V582,Supplier_63,Pune,13,3.6,88.68,2024-10-07,2024-10-20,75
V662,Supplier_64,Mumbai,10,4.1,83.31,2024-07-01,2024-07-11,79
V689,Supplier_65,Lucknow,9,3.7,115.19,2024-02-02,2024-02-11,80
V671,Supplier_66,Lucknow,11,4.8,118.0,2024-02-07,2024-02-18,95
V803,Supplier_67,Bangalore,12,4.7,107.42,2024-07-22,2024-08-03,89
V982,Supplier_68,Mumbai,12,4.3,116.17,2024-06-23,2024-07-05,82
V844,Supplier_69,Pune,7,4.5,92.14,2024-01-04,2024-01-11,81
V221,Supplier_70,Chennai,4,3.8,96.24,2024-05-14,2024-05-18,79
V528,Supplier_71,Kolkata,6,4.1,109.18,2024-03-09,2024-03-15,90
V557,Supplier_72,Lucknow,11,4.2,94.65,2024-11-13,2024-11-24,83
V575,Supplier_73,Lucknow,13,4.5,114.0,2024-07-15,2024-07-28,89
V745,Supplier_74,Kolkata,3,4.6,89.53,2024-04-17,2024-04-20,88
V478,Supplier_75,Hyderabad,13,3.7,106.28,2024-07-03,2024-07-16,86
V336,Supplier_76,Kolkata,9,4.9,86.89,2024-01-26,2024-02-04,94
V511,Supplier_77,Mumbai,12,4.4,113.12,2024-11-22,2024-12-04,94
V868,Supplier_78,Lucknow,4,4.4,85.17,2024-03-15,2024-03-19,86
V379,Supplier_79,Mumbai,5,4.3,104.57,2024-06-13,2024-06-18,87
V118,Supplier_80,Hyderabad,11,4.7,101.31,2024-09-07,2024-09-18,85
V275,Supplier_81,Mumbai,14,3.7,86.06,2024-08-03,2024-08-17,82
